section,question_number,question,correct_answer,keywords
1,1,What services does ReachIvy offer?,"ReachIvy is a study abroad and careers advisory and we offer end-to-end solutions that help you get accepted to top schools/colleges. We provide end-to-end assistance right from test prep, counselling / profile building, to college selection, essay brainstorming and editing, resume reviews, and interview prep. So, whether you are a student who is just starting out, with no knowledge on how to go about the study abroad process, or you are a reapplicant, trying to crack an admission to your dream school, we can help you achieve your target. We can also help you with career-related services like the career test, career counselling, life skill coaching, LinkedIn reviews, and resume editing. I would also like to inform you that ReachIvy is a 0% commission-based firm. Unlike some other counsellors in the industry, we donâ€™t take any commission from colleges to send students to them. Our students get admission to top schools purely on the basis of their merit, and of course, our guidance.",Study abroad and careers advisory | End-to-end assistance | Test prep | Profile building | College selection | Essay brainstorming/editing | Resume reviews | Interview prep | Career counselling | LinkedIn reviews | Life skills coaching | 0% commission | Top schools | Merit-based admissions
1,2,Do you have any branches?,"We are a 100% virtual company with a corporate office in Mumbai, India. However, no student ever needs to visit our office, because we work with all of them online. This way, you can save on travel time and enjoy the flexibility of completing all your application work from the comfort of your home. We have excellent, specialised enterprise solution platforms, which are engineered to solve all your problems with just a click of a button. You must also know that all our counsellors, who have graduated from top schools like Harvard, Carnegie Mellon, London School of Economics, Cambridge, etc., are based globally and they work with our students in real-time.","100% virtual | Corporate office in Mumbai | No need to visit office | Online support | Global counsellors | Top schools (Harvard, LSE, CMU, etc.)"
1,3,Do you offer any free consultations?,"At ReachIvy, we do not believe in offering any free/sample/short/quick consultations/reviews. We firmly believe that to offer high-quality, personalized feedback, our counsellor needs a dedicated, hour-long session to fully understand your profile and ONLY then provide recommendations. Strongly suggest you sign up for a one-hour session and experience it for yourself. You will know that at the end of our one-hour consultation, you will have a clear sense of how to go about your study abroad application process with specific and targeted feedback on your strengths and weaknesses.","No free/sample consultations | Personalized, paid 1-hour session | In-depth profile understanding | Specific feedback | Avoid generic advice | Free consults can mislead | High-quality guidance | Track record of success"
1,4,How can I reach you?,"Please register on our website and on the top right corner you will see a 'Contact us' button. We will revert to you in at most 24 hours (1 business day). Emails are preferred as a means of communication over phone, as we have a record of your requests and can respond appropriately.","Register on website | ""Contact us"" top right corner | Response within 24 hours | Email preferred over phone"
1,5,Will you guarantee me an admission? If my profile is good?,"Given that we are a 100% non- agency business and that our forte lies in helping students leverage their profile to reach top tier schools, we cannot guarantee admission. Let me also share with you that if anyone is offering you guaranteed admission, you may not have exploited your full potential to get into a top school, as top schools don’t offer guaranteed admissions to anyone.
At ReachIvy, we want to ensure that each student gets into the college which is the ‘right fit’ for his profile. Your career and future matters to us, so we will work hard to make sure that you get to the top schools. Given our expertise and consistent rate of successful admits through all our years of operation, we are confident of delivering a world class service and guiding you holistically to get that admit! 
If you look at our Student Testimonials on our website, you’d see that our students have cracked admission to top tier schools like Harvard, Cornell, MIT, Wharton, LBS, Oxford, LIBS, and others. These schools are tough to get into, but every year our students get in their dream schools because we offer high-quality, personalized services.","No guaranteed admissions | Non-agency model | Right fit for student | Top schools don’t offer guarantees | Personalized guidance | Consistent results | Student testimonials | Schools like Harvard, MIT, LBS, etc."
1,6,"If two or more students from ReachIvy are applying to the same university that year, how will I know that you are not preferring the other student over me?","Every year, I have multiple students who secure an admit to the same school. Given that we are a 100% non- agency business, we don’t push any one application over the other. All our solutions are customized to suit each student’s respective need and help them leverage their profile to reach top schools of their choice.",No favoritism | Customized guidance for each student | Non-agency model | Multiple students admitted to same school yearly | Profile leverage
1,7,Which option works best for you: reviewing the email first or starting with a call?,"Our website has a lot of details I want to ensure those aren’t lost in conversation

I have put together the requisite links in my email to you, request you to please review the same in detail.

Let’s set up a call immediately after to discuss any advance questions that may come up. Does 10am tomorrow work for you?",Website has detailed information | Requisite links in email | Review before call | Schedule follow-up call
1,8,what are names of the 8 Ivy league colleges?,"The eight members are Brown University, Columbia University, Cornell University, Dartmouth College, Harvard University, the University of Pennsylvania, Princeton University, and Yale University. The term 'Ivy League' has connotations of academic excellence, selectivity in admissions, and social elitism.","Ivy League = 8 schools | Brown, Columbia, Cornell, Dartmouth, Harvard, UPenn, Princeton, Yale | Academic excellence | Selectivity"
2,9,Who are your counsellors?,"All my experts are graduates from top schools. If you look at our Counsellors page, you’ll see that we have a galaxy of top-notch counsellors: For example, we have Suman Barua who is from Harvard University, Aparna from London School of Economics, Shyam from University of Cambridge , Kovid from Cornell, and so on. Our team understands the Indian context and help you build stories keeping a global perspective in mind. They have worked across sectors from private equity, technology , social enterprise at both domestic and international level and come with a vast range of experience to understand diverse backgrounds.
Useful Add-on Points Basis Conversation :
We have domain experts in different areas, you are matched basis the person who is best equipped to help you. Our team goes through rigorous training each year .and directly connect with admission  officers at top schools. 
Please review each counsellor’s profile on our website for more details. Everyone on our team is an expert and has graduated from top tier schools and over the years has assisted many students in reaching top tier schools. 
All our counsellors are seasoned experts and have undergone rigorous training to meet ReachIvy’s processes. We follow a strong filtration process at ReachIvy to ensure only the best work with our students.  ","Graduates from top schools | Counsellors page on website | Harvard, LSE, Cambridge, Cornell, Darden | Understand Indian context | Global perspective | Matched by domain expertise | Connected with admissions officers | Strong selection process"
2,10,Do I get to select my counsellor? What if I am not happy with the Counsellor you have assigned to me?,"Everyone on our team is an expert and has graduated from top tier schools and over the years has assisted many students in reaching top tier schools. Rest assured <name of student>, regardless of your individual counsellor the deliverables from ReachIvy remain the same. Please review each counsellor’s profile on the website for more details. We have domain experts for each degree; we will connect you to a counsellor that suits your particular need after reviewing your profile! 
It does not make sense for you to select a counsellor based on your preference, because we do the profile matching post detailed team discussions. Each student gets a counsellor who is best suited to help, given the Counsellor’s experience, knowledge, and expertise in the field of study you are interested in. Given this strategic approach, till date, we’ve not faced a situation where a student is unhappy with the counsellor assigned to him/her. You’ll later come back to thank me for choosing the right counsellor, because we totally understand your needs and the counsellor’s background, so it’s best you leave that decision to us! J","expert | ""top tier schools"" | ""deliverables remain the same"" | ""profile matching"" | ""team discussions"" | ""no specific counsellor"" | ""check with Ops team"""
